spray.date,first.spray.date,mildew.incidence,flagshoot,previous.flagshoot,synthetic,nonsynthetic,disease.in.may,pruning,susceptibility.to.r6.Strains,susceptibility.to.nonr6.Strains,year,change,how,Grower,mi,NonSynthetic,Synthetic,Mixture
142,119,0,0,0,0,2,0,2,1,1,2014,0,N → N,1,0,0.431055432,0.410066172,0.158878396
155,119,0,0,0,1,0,0,2,1,1,2014,1,N → S,1,0,0.228573762,0.516173586,0.255252652
183,119,0.16,0,0,1,1,0,2,1,1,2014,1,S → M,1,1,0.036110762,0.524885443,0.439003796
142,119,0.1,0,0,0,2,0.01,5,2,2,2014,0,N → N,1,1,0.751560586,0.17529731,0.073142104
155,119,0.1,0,0,1,0,0.01,5,2,2,2014,1,N → S,1,1,0.358438861,0.387600794,0.253960345
183,119,0.07,0,0,1,1,0.01,5,2,2,2014,1,S → M,1,1,0.175020605,0.449269906,0.375709489
142,119,0.09,0,0,0,2,0.13,3,2,2,2014,0,N → N,1,1,0.024077791,0.399573247,0.576348962
155,119,0.09,0,0,1,0,0.13,3,2,2,2014,1,N → S,1,1,0.794943803,0.16383326,0.041222938
183,119,0.02,0,0,1,1,0.13,3,2,2,2014,1,S → M,1,1,0.431055432,0.410066172,0.158878396
142,119,0.48,0,0,0,2,0,3,4,4,2014,0,N → N,1,1,0.228573762,0.516173586,0.255252652
151,119,0.48,0,0,1,1,0,3,4,4,2014,1,N → M,1,1,0.029039063,0.452752284,0.518208654
155,119,0.48,0,0,1,0,0,3,4,4,2014,1,M → S,1,1,0.707355622,0.232657458,0.059986921
183,119,0.12,0,0,1,1,0,3,4,4,2014,1,S → M,1,1,0.300543147,0.474645534,0.224811318
142,119,0.03,0,0,0,2,0,3,1,1,2014,0,N → N,1,1,0.142545684,0.534398488,0.323055828
155,119,0.03,0,0,1,0,0,3,1,1,2014,1,N → S,1,1,0.020931568,0.498496342,0.480572091
183,119,0.01,0,0,1,1,0,3,1,1,2014,1,S → M,1,1,0.685042402,0.237483943,0.077473654
142,119,0.36,0,0,0,2,0,5,3,3,2014,0,N → N,1,1,0.302785018,0.476095213,0.221119769
155,119,0.36,0,0,1,0,0,5,3,3,2014,1,N → S,1,1,0.143984689,0.537432994,0.318582317
183,119,0.09,0,0,1,1,0,5,3,3,2014,1,S → M,1,1,0.022389633,0.521664787,0.45594558
142,119,0.04,0,0,0,2,0.03,3,3,3,2014,0,N → N,1,1,0.751560586,0.17529731,0.073142104
155,119,0.04,0,0,1,0,0.03,3,3,3,2014,1,N → S,1,1,0.221412781,0.294184398,0.48440282
183,119,0.14,0,0,1,1,0.03,3,3,3,2014,1,S → M,1,1,0.122996986,0.297329059,0.579673955
142,119,0,0,0,0,2,0,3,1,1,2014,0,N → N,1,0,0.092742515,0.292512479,0.614745006
155,119,0,0,0,1,0,0,3,1,1,2014,1,N → S,1,0,0.020506565,0.355552743,0.623940693
183,119,0,0,0,1,1,0,3,1,1,2014,1,S → M,1,0,0.794943803,0.16383326,0.041222938
142,119,0.01,0,0,0,2,0,3,1,1,2014,0,N → N,1,1,0.423732567,0.408434175,0.167833258
155,119,0.01,0,0,1,0,0,3,1,1,2014,1,N → S,1,1,0.222808093,0.509811668,0.267380239
183,119,0.04,0,0,1,1,0,3,1,1,2014,1,S → M,1,1,0.035648627,0.520443773,0.4439076
142,119,0.02,0,0,0,2,0,4,4,4,2014,0,N → N,1,1,0.795641609,0.15756943,0.046788961
155,119,0.02,0,0,1,0,0,4,4,4,2014,1,N → S,1,1,0.326621272,0.349596445,0.323782282
183,119,0.03,0,0,1,1,0,4,4,4,2014,1,S → M,1,1,0.152805751,0.388249424,0.458944825
142,119,0.01,0,0,0,2,0,3,1,1,2014,0,N → N,1,1,0.030639073,0.445164534,0.524196393
155,119,0.01,0,0,1,0,0,3,1,1,2014,1,N → S,1,1,0.79122933,0.158769202,0.050001468
183,119,0.02,0,0,1,1,0,3,1,1,2014,1,S → M,1,1,0.418344876,0.389185501,0.192469623
142,119,0,0,0,0,2,0,5,1,1,2014,0,N → N,1,0,0.217283078,0.479840259,0.302876663
155,119,0,0,0,1,0,0,5,1,1,2014,1,N → S,1,0,0.028457482,0.422626844,0.548915675
183,119,0.05,0,0,1,1,0,5,1,1,2014,1,S → M,1,1,0.794943803,0.16383326,0.041222938
142,119,0.02,0,0,0,2,0.01,5,4,4,2014,0,N → N,1,1,0.431055432,0.410066172,0.158878396
155,119,0.02,0,0,1,0,0.01,5,4,4,2014,1,N → S,1,1,0.228573762,0.516173586,0.255252652
183,119,0.13,0,0,1,1,0.01,5,4,4,2014,1,S → M,1,1,0.036110762,0.524885443,0.439003796
142,119,0,0,0,0,2,0,3,3,3,2014,0,N → N,1,0,0.794943803,0.16383326,0.041222938
155,119,0,0,0,1,0,0,3,3,3,2014,1,N → S,1,0,0.428630126,0.409549736,0.161820138
183,119,0,0,0,1,1,0,3,3,3,2014,1,S → M,1,0,0.226655325,0.514089181,0.259255494
142,119,0.11,0,0,0,2,0.0075,4,3,3,2014,0,N → N,1,1,0.034277163,0.507043579,0.458679258
155,119,0.11,0,0,1,0,0.0075,4,3,3,2014,1,N → S,1,1,0.751560586,0.17529731,0.073142104
183,119,0.12,0,0,1,1,0.0075,4,3,3,2014,1,S → M,1,1,0.355640653,0.386263884,0.258095463
111,81,0.38,0.08,0.02,0,1,0.38,5,4,4,2014,0,N → N,2,1,0.173100089,0.446291459,0.380608452
143,81,1,0.01,0.08,0,1,0.38,5,4,4,2014,0,N → N,2,1,0.023704496,0.395106005,0.581189499
161,81,0.99,0,0.01,1,0,0.38,5,4,4,2014,1,N → S,2,1,0.794943803,0.16383326,0.041222938
169,81,0.99,0,0,1,1,0.38,5,4,4,2014,1,S → M,2,1,0.428630126,0.409549736,0.161820138
114,104,0.01,0,0,0,1,0.01,2,2,0,2014,0,N → N,2,1,0.226655325,0.514089181,0.259255494
122,104,0.01,0,0,0,1,0.01,2,2,0,2014,0,N → N,2,1,0.035188947,0.51598898,0.448822073
128,104,0.01,0,0,1,0,0.01,2,2,0,2014,1,N → S,2,1,0.794943803,0.16383326,0.041222938
171,104,0.09,0,0,0,1,0.01,2,2,0,2014,1,S → N,2,1,0.431055432,0.410066172,0.158878396
123,119,0,0,0,0,1,0,5,4,0,2014,0,N → N,2,0,0.228573762,0.516173586,0.255252652
133,119,0.12,0,0,1,0,0,5,4,0,2014,1,N → S,2,1,0.033825159,0.50255477,0.463620071
140,119,0.12,0,0,0,1,0,5,4,0,2014,1,S → N,2,1,0.749652227,0.175620103,0.07472767
165,119,0.42,0,0,1,1,0,5,4,0,2014,1,N → M,2,1,0.355640653,0.386263884,0.258095463
173,119,0.42,0,0,0,1,0,5,4,0,2014,1,M → N,2,1,0.173100089,0.446291459,0.380608452
123,119,0,0,0,0,1,0,5,4,0,2014,0,N → N,2,0,0.020169532,0.351244944,0.628585524
133,119,0.12,0,0,1,0,0,5,4,0,2014,1,N → S,2,1,0.795641609,0.15756943,0.046788961
140,119,0.12,0,0,0,1,0,5,4,0,2014,1,S → N,2,1,0.42879565,0.391976496,0.179227854
165,119,0.42,0,0,1,1,0,5,4,0,2014,1,N → M,2,1,0.225408903,0.489135631,0.285455466
173,119,0.42,0,0,0,1,0,5,4,0,2014,1,M → N,2,1,0.034777808,0.48575683,0.479465363
113,81,0,0,0,0,1,0,5,1,1,2014,0,N → N,2,0,0.794554545,0.157872158,0.047573297
148,81,0,0,0,1,0,0,5,1,1,2014,1,N → S,2,0,0.399445157,0.383178655,0.217376188
172,81,0,0,0,0,1,0,5,1,1,2014,1,S → N,2,0,0.203006449,0.462277294,0.334716257
151,119,0.88,0,0,1,1,0.12,2,3,3,2014,1,N → M,2,1,0.029319522,0.431629609,0.539050869
153,119,0.88,0,0,1,1,0.12,2,3,3,2014,0,M → M,2,1,0.995156883,0.00450445,0.000338667
162,119,0.39,0,0,1,0,0.12,2,3,3,2014,1,M → S,2,1,0.953317192,0.036984279,0.009698529
181,119,0.39,0,0,1,1,0.12,2,3,3,2014,1,S → M,2,1,0.472406923,0.201962861,0.325630216
134,116,0.94,0,0.03,1,0,0.07,4,5,0,2014,1,N → S,2,1,0.180769777,0.254700516,0.564529708
141,116,0.94,0,0,1,0,0.07,4,5,0,2014,0,S → S,2,1,0.104426871,0.250473363,0.645099766
150,116,0.94,0,0,1,1,0.07,4,5,0,2014,1,S → M,2,1,0.974112053,0.023878057,0.002009889
154,116,0.94,0,0,0,1,0.07,4,5,0,2014,1,M → N,2,1,0.95011419,0.045286888,0.004598923
165,116,0.71,0,0,1,1,0.07,4,5,0,2014,1,N → M,2,1,0.916828785,0.074392678,0.008778537
176,116,0.71,0,0,1,1,0.07,4,5,0,2014,0,M → M,2,1,0.879586043,0.106366346,0.014047611
184,116,0.71,0,0,1,1,0.07,4,5,0,2014,0,M → M,2,1,0.253631051,0.554398178,0.191970771
126,116,0,0,0,0,1,0,2,4,0,2014,0,N → N,2,0,0.91476156,0.080131012,0.005107429
142,116,0.82,0,0,0,1,0,2,4,0,2014,0,N → N,2,1,0.891150736,0.101851289,0.006997975
154,116,0.82,0,0,0,1,0,2,4,0,2014,0,N → N,2,1,0.794403313,0.186080402,0.019516285
157,116,0.82,0,0,1,0,0,2,4,0,2014,1,N → S,2,1,0.705355866,0.263167642,0.031476492
164,116,0.36,0,0,1,0,0,2,4,0,2014,0,S → S,2,1,0.24899935,0.558641237,0.192359413
176,116,0.36,0,0,0,1,0,2,4,0,2014,1,S → N,2,1,0.15754414,0.601703184,0.240752676
106,99,0,0,0,0,1,0,4,4,4,2014,0,N → N,2,0,0.91476156,0.080131012,0.005107429
115,99,0,0,0,0,1,0,4,4,4,2014,0,N → N,2,0,0.891150736,0.101851289,0.006997975
125,99,0,0,0,0,1,0,4,4,4,2014,0,N → N,2,0,0.794403313,0.186080402,0.019516285
157,99,0.47,0,0,1,0,0,4,4,4,2014,1,N → S,2,1,0.705355866,0.263167642,0.031476492
164,99,0.14,0,0,1,1,0,4,4,4,2014,1,S → M,2,1,0.24899935,0.558641237,0.192359413
170,99,0.14,0,0,1,1,0,4,4,4,2014,0,M → M,2,1,0.15754414,0.601703184,0.240752676
176,99,0.14,0,0,1,1,0,4,4,4,2014,0,M → M,2,1,0.995900874,0.003931074,0.000168052
181,99,0.14,0,0,1,0,0,4,4,4,2014,1,M → S,2,1,0.965499665,0.032005779,0.002494556
116,99,0.06,0.01,0.01,0,2,0.06,4,3,3,2014,0,N → N,2,1,0.718932472,0.244336008,0.03673152
153,99,0.87,0,0.01,1,1,0.06,4,3,3,2014,1,N → M,2,1,0.32551124,0.545759371,0.128729389
164,99,1,0,0,1,1,0.06,4,3,3,2014,0,M → M,2,1,0.904815656,0.092129005,0.00305534
148,122,0,0,0,0,1,0,1,4,0,2014,0,N → N,4,0,0.397907368,0.474720173,0.127372459
159,122,0,0,0,0,1,0,1,4,0,2014,0,N → N,4,0,0.364646832,0.496923427,0.138429741
183,122,0,0,0,0,1,0,1,4,0,2014,0,N → N,4,0,0.307435945,0.614955878,0.077608178
148,122,0,0,0,0,1,0,1,4,0,2014,0,N → N,4,0,0.106925865,0.756666709,0.136407426
159,122,0,0,0,0,1,0,1,4,0,2014,0,N → N,4,0,0.929938248,0.065053044,0.005008708
183,122,0,0,0,0,1,0,1,4,0,2014,0,N → N,4,0,0.649137684,0.220077186,0.13078513
158,120,0,0,0,0,1,0,3,3,3,2014,0,N → N,4,0,0.524664593,0.283324792,0.192010614
186,120,0.01,0,0,1,0,0,3,3,3,2014,1,N → S,4,1,0.360898898,0.354580067,0.284521035
163,121,0,0,0,0,1,0,2,4,4,2014,0,N → N,4,0,0.294924518,0.378061349,0.327014133
163,121,0,0,0,0,1,0,2,4,4,2014,0,N → N,4,0,0.198408383,0.477888474,0.323703142
187,158,0.02,0,0,1,0,0,5,3,3,2014,1,N → S,4,1,0.098293148,0.492013523,0.40969333
148,122,0,0,0,0,1,0,1,4,0,2014,0,N → N,4,0,0.056286844,0.479629594,0.464083562
159,122,0,0,0,0,1,0,1,4,0,2014,0,N → N,4,0,0.932492759,0.063261143,0.004246098
158,120,0,0,0,0,1,0,3,3,3,2014,0,N → N,4,0,0.875198121,0.115452818,0.009349061
186,120,0,0,0,1,0,0,3,3,3,2014,1,N → S,4,0,0.541585465,0.296560191,0.161854343
158,120,0,0,0,0,1,0,2,3,3,2014,0,N → N,4,0,0.328118676,0.399065995,0.272815328
186,120,0,0,0,1,0,0,2,3,3,2014,1,N → S,4,0,0.28101082,0.417233138,0.301756042
155,125,0,0,0,0,1,0,2,1,1,2014,0,N → N,4,0,0.279312423,0.539965956,0.180721622
126,118,0,0,0,0,1,0,4,2,2,2014,0,N → N,5,0,0.140965439,0.605280517,0.253754043
133,118,0,0,0,0,3,0,4,2,2,2014,0,N → N,5,0,0.978684284,0.020262374,0.001053342
111,118,0,0,0,0,1,0,4,2,2,2014,0,N → N,5,0,0.966246966,0.031864013,0.001889021
146,118,0,0,0,0,3,0,4,2,2,2014,0,N → N,5,0,0.939664447,0.056378182,0.003957371
158,118,0,0,0,0,1,0,4,2,2,2014,0,N → N,5,0,0.887669022,0.103560928,0.00877005
118,111,0,0,0,0,1,0,1,1,1,2014,0,N → N,5,0,0.3743969,0.450718735,0.174884365
126,111,0,0,0,0,1,0,1,1,1,2014,0,N → N,5,0,0.328537968,0.545155091,0.126306941
132,111,0,0,0,0,2,0,1,1,1,2014,0,N → N,5,0,0.243059174,0.601077515,0.155863311
140,111,0,0,0,0,1,0,1,1,1,2014,0,N → N,5,0,0.173757334,0.640391515,0.185851151
147,111,0,0,0,0,2,0,1,1,1,2014,0,N → N,5,0,0.128574822,0.660787253,0.210637925
161,111,0,0,0,0,1,0,1,1,1,2014,0,N → N,5,0,0.981548625,0.017714201,0.000737174
118,111,0,0,0,0,1,0,1,0,0,2014,0,N → N,5,0,0.944201134,0.052777095,0.003021771
126,111,0,0,0,0,1,0,1,0,0,2014,0,N → N,5,0,0.406933941,0.379877256,0.213188803
132,111,0,0,0,0,2,0,1,0,0,2014,0,N → N,5,0,0.204835951,0.420681665,0.374482384
140,111,0,0,0,0,1,0,1,0,0,2014,0,N → N,5,0,0.98279952,0.013262161,0.003938319
147,111,0,0,0,0,2,0,1,0,0,2014,0,N → N,5,0,0.898613297,0.068331249,0.033055453
161,111,0,0,0,0,1,0,1,0,0,2014,0,N → N,5,0,0.798719267,0.126219932,0.075060801
140,119,0,0,0,0,2,0,1,1,1,2014,0,N → N,5,0,0.398881985,0.310966812,0.290151202
165,119,0,0,0,0,1,0,1,1,1,2014,0,N → N,5,0,0.98279952,0.013262161,0.003938319
135,119,0.01,0,0,0,2,0,3,1,1,2014,0,N → N,5,1,0.898613297,0.068331249,0.033055453
161,119,0,0,0,0,1,0,3,1,1,2014,0,N → N,5,0,0.798719267,0.126219932,0.075060801
127,118,0,0,0,0,1,0,4,4,0,2014,0,N → N,5,0,0.398881985,0.310966812,0.290151202
134,118,0.14,0,0,0,2,0,4,4,0,2014,0,N → N,5,1,0.986060395,0.012375365,0.00156424
142,118,0.14,0,0,0,1,0,4,4,0,2014,0,N → N,5,1,0.83500788,0.131162645,0.033829475
147,118,0.14,0,0,0,2,0,4,4,0,2014,0,N → N,5,1,0.405306944,0.411590413,0.183102644
162,118,0.16,0,0,0,1,0,4,4,0,2014,0,N → N,5,1,0.981445105,0.015797112,0.002757783
127,118,0,0,0,0,1,0,2,4,0,2014,0,N → N,5,0,0.733258218,0.192733113,0.074008669
134,118,0.08,0,0,0,2,0,2,4,0,2014,0,N → N,5,1,0.981445105,0.015797112,0.002757783
142,118,0.08,0,0,0,1,0,2,4,0,2014,0,N → N,5,1,0.733258218,0.192733113,0.074008669
150,118,0.08,0,0,0,2,0,2,4,0,2014,0,N → N,5,1,0.743780735,0.239839309,0.016379956
157,118,0.08,0,0,0,1,0,2,4,0,2014,0,N → N,5,1,0.287409255,0.637551578,0.075039168
126,118,0,0,0,0,1,0,1,4,0,2014,0,N → N,5,0,0.98279952,0.013262161,0.003938319
133,118,0.07,0,0,0,2,0,1,4,0,2014,0,N → N,5,1,0.898613297,0.068331249,0.033055453
141,118,0.07,0,0,0,1,0,1,4,0,2014,0,N → N,5,1,0.798719267,0.126219932,0.075060801
146,118,0.07,0,0,0,2,0,1,4,0,2014,0,N → N,5,1,0.986060395,0.012375365,0.00156424
158,118,0.07,0,0,0,1,0,1,4,0,2014,0,N → N,5,1,0.83500788,0.131162645,0.033829475
127,118,0,0,0,0,1,0,4,4,0,2014,0,N → N,5,0,0.40781083,0.412322301,0.179866869
135,118,0.1,0,0,0,2,0,4,4,0,2014,0,N → N,5,1,0.986060395,0.012375365,0.00156424
142,118,0.1,0,0,0,1,0,4,4,0,2014,0,N → N,5,1,0.83500788,0.131162645,0.033829475
150,118,0.1,0,0,0,1,0,4,4,0,2014,0,N → N,5,1,0.40781083,0.412322301,0.179866869
162,118,0,0,0,0,1,0,4,4,0,2014,0,N → N,5,0,0.978509855,0.019567386,0.001922759
162,140,0.43,0,0,0,2,0,2,5,0,2014,0,N → N,6,1,0.852956193,0.125404793,0.021639014
182,140,0.43,0,0,1,0,0,2,5,0,2014,1,N → S,6,1,0.99124987,0.001038725,0.007711405
162,140,0,0,0,0,2,0,2,4,0,2014,0,N → N,6,0,0.983117279,0.001753751,0.01512897
182,140,0,0,0,1,0,0,2,4,0,2014,1,N → S,6,0,0.970125746,0.002756483,0.027117772
162,140,0.19,0,0,0,2,0,3,4,4,2014,0,N → N,6,1,0.995083595,0.000654655,0.004261751
182,140,0.19,0,0,1,0,0,3,4,4,2014,1,N → S,6,1,0.916224068,0.006179844,0.077596089
162,140,0.43,0,0,0,2,0,2,4,0,2014,0,N → N,6,1,0.799613246,0.011979086,0.188407668
182,140,0.43,0,0,1,0,0,2,4,0,2014,1,N → S,6,1,0.996620351,0.000362021,0.003017628
167,140,0.02,0,0,0,2,0,1,3,3,2014,0,N → N,6,1,0.993958199,0.000575092,0.00546671
167,140,0.18,0,0,0,1,0,2,4,0,2014,0,N → N,6,1,0.988274601,0.000973401,0.010751998
167,140,0,0,0,0,2,0,3,1,1,2014,0,N → N,6,0,0.980762562,0.001439667,0.017797772
162,140,0,0,0,0,2,0,1,3,3,2014,0,N → N,6,0,0.963024074,0.00240647,0.034569455
167,140,0,0,0,0,2,0,2,3,3,2014,0,N → N,6,0,0.935292104,0.003722676,0.06098522
167,140,0,0,0,0,2,0,3,1,1,2014,0,N → N,6,0,0.816167921,0.008241699,0.17559038
134,133,0,0,0,0,2,0,1,4,4,2014,0,N → N,7,0,0.954965914,0.0071597,0.037874386
156,133,0,0,0,1,0,0,1,4,4,2014,1,N → S,7,0,0.992173891,0.000314033,0.007512076
163,133,0.01,0,0,1,0,0,1,4,4,2014,0,S → S,7,1,0.985943371,0.000497054,0.013559575
183,133,0.01,0,0,0,1,0,1,4,4,2014,1,S → N,7,1,0.972702888,0.00083479,0.026462322
184,133,0.01,0,0,0,1,0,1,4,4,2014,0,N → N,7,1,0.955423512,0.001222016,0.043354472
134,133,0,0,0,0,2,0,1,2,2,2014,0,N → N,7,0,0.915801945,0.001994012,0.082204043
156,133,0,0,0,1,0,0,1,2,2,2014,1,N → S,7,0,0.857254027,0.002973038,0.139772935
163,133,0,0,0,1,0,0,1,2,2,2014,0,S → S,7,0,0.646509391,0.005688463,0.347802146
180,133,0,0,0,1,1,0,1,2,2,2014,1,S → M,7,0,0.994101684,0.000713901,0.005184415
134,133,0,0,0,0,2,0,2,1,1,2014,0,N → N,7,0,0.966970118,0.002806172,0.03022371
156,133,0,0,0,1,0,0,2,1,1,2014,1,N → S,7,0,0.782002307,0.011965358,0.206032334
163,133,0.02,0,0,1,0,0,2,1,1,2014,0,S → S,7,1,0.994101684,0.000713901,0.005184415
180,133,0.02,0,0,1,1,0,2,1,1,2014,1,S → M,7,1,0.9775242,0.002043283,0.020432517
134,133,0,0,0,0,2,0,1,0,0,2014,0,N → N,7,0,0.833990599,0.00978039,0.156229011
155,133,0,0,0,1,0,0,1,0,0,2014,1,N → S,7,0,0.987402137,0.000567393,0.01203047
163,133,0,0,0,1,0,0,1,0,0,2014,0,S → S,7,0,0.973432942,0.001017705,0.025549353
133,132,0.01,0,0,0,2,0,3,1,1,2014,0,N → N,7,1,0.935913933,0.001657144,0.062428924
155,132,0.01,0,0,1,0,0,3,1,1,2014,1,N → S,7,1,0.881086446,0.002655756,0.116257798
168,132,0.02,0,0,1,0,0,3,1,1,2014,0,S → S,7,1,0.828980379,0.003484313,0.167535308
183,132,0.02,0,0,0,1,0,3,1,1,2014,1,S → N,7,1,0.563902878,0.006483259,0.429613863
154,135,0.05,0,0,1,0,0,2,3,3,2014,1,N → S,7,1,0.987402137,0.000567393,0.01203047
163,135,0.041237113,0,0,1,0,0,2,3,3,2014,0,S → S,7,1,0.973432942,0.001017705,0.025549353
181,135,0.041237113,0,0,0,1,0,2,3,3,2014,1,S → N,7,1,0.943853454,0.001627834,0.054518712
134,127,0.01,0,0,0,1,0,1,3,3,2014,0,N → N,7,1,0.895098021,0.002627976,0.102274003
135,127,0.01,0,0,0,2,0,1,3,3,2014,0,N → N,7,1,0.812335318,0.00406005,0.183604632
163,127,0,0,0,1,0,0,1,3,3,2014,1,N → S,7,0,0.704962673,0.005612118,0.289425209
180,127,0,0,0,1,1,0,1,3,3,2014,1,S → M,7,0,0.987402137,0.000567393,0.01203047
163,154,0.01,0,0,1,0,0,2,3,3,2014,0,S → S,7,1,0.975533987,0.000954284,0.023511729
154,127,0.04,0,0,1,0,0,1,3,3,2014,1,N → S,7,1,0.949315907,0.00152522,0.049158873
163,127,0.03,0,0,1,0,0,1,3,3,2014,0,S → S,7,1,0.904838809,0.002474789,0.092686402
181,127,0.03,0,0,0,1,0,1,3,3,2014,1,S → N,7,1,0.861544002,0.00328585,0.135170148
135,127,0,0,0,0,2,0,1,1,1,2014,0,N → N,7,0,0.692055601,0.00586245,0.302081949
142,127,0,0,0,0,1,0,1,1,1,2014,0,N → N,7,0,0.987402137,0.000567393,0.01203047
154,127,0,0,0,1,0,0,1,1,1,2014,1,N → S,7,0,0.973432942,0.001017705,0.025549353
163,127,0.01,0,0,1,0,0,1,1,1,2014,0,S → S,7,1,0.936457448,0.001741327,0.061801224
183,127,0.01,0,0,0,1,0,1,1,1,2014,1,S → N,7,1,0.890600857,0.00263779,0.106761354
167,155,0,0,0,1,0,0,3,1,1,2014,0,S → S,7,0,0.805042167,0.004059018,0.190898815
182,155,0,0,0,0,1,0,3,1,1,2014,1,S → N,7,0,0.653706731,0.007006834,0.339286435
183,155,0,0,0,0,1,0,3,1,1,2014,0,N → N,7,0,0.935489411,0.031473293,0.033037296
155,127,0.02,0,0,1,0,0,1,3,3,2014,1,N → S,7,1,0.548833737,0.096283853,0.35488241
168,127,0.05,0,0,1,0,0,1,3,3,2014,0,S → S,7,1,0.19150071,0.127027061,0.681472229
181,127,0.05,0,0,0,1,0,1,3,3,2014,1,S → N,7,1,0.935489411,0.031473293,0.033037296
132,127,0,0,0,0,2,0,2,3,3,2014,0,N → N,7,0,0.726849862,0.105614254,0.167535884
155,127,0,0,0,1,0,0,2,3,3,2014,1,N → S,7,0,0.354871335,0.194967375,0.45016129
168,127,0.05,0,0,1,0,0,2,3,3,2014,0,S → S,7,1,0.934401639,0.040831901,0.02476646
180,127,0.05,0,0,1,1,0,2,3,3,2014,1,S → M,7,1,0.676591397,0.138779902,0.1846287
136,135,0.03,0,0,0,2,0,2,3,3,2014,0,N → N,7,1,0.305125678,0.236642128,0.458232194
154,135,0.03,0,0,1,0,0,2,3,3,2014,1,N → S,7,1,0.93280136,0.031798152,0.035400488
168,135,0.02,0,0,1,0,0,2,3,3,2014,0,S → S,7,1,0.548833737,0.096283853,0.35488241
182,135,0.02,0,0,0,1,0,2,3,3,2014,1,S → N,7,1,0.19150071,0.127027061,0.681472229
180,156,0.04,0,0,0,1,0,5,3,3,2014,1,S → N,7,1,0.949560332,0.035231553,0.015208114
154,136,0.05,0,0,1,0,0,2,3,3,2014,1,N → S,7,1,0.717671255,0.16177778,0.120550966
168,136,0.06,0,0,1,0,0,2,3,3,2014,0,S → S,7,1,0.929953531,0.032120579,0.03792589
182,136,0.06,0,0,0,1,0,2,3,3,2014,1,S → N,7,1,0.567235799,0.124365866,0.308398335
133,132,0.03,0,0,0,2,0,2,4,0,2014,0,N → N,7,1,0.949906753,0.036677639,0.013415608
155,132,0.03,0,0,1,0,0,2,4,0,2014,1,N → S,7,1,0.727948117,0.169277268,0.102774615
168,132,0,0,0,1,0,0,2,4,0,2014,0,S → S,7,0,0.933714668,0.031690111,0.034595221
169,132,0,0,0,1,0,0,2,4,0,2014,0,S → S,7,0,0.949560332,0.035231553,0.015208114
182,132,0,0,0,1,1,0,2,4,0,2014,1,S → M,7,0,0.790653226,0.12669801,0.082648764
154,132,0,0,0,1,0,0,1,0,0,2014,1,N → S,7,0,0.949560332,0.035231553,0.015208114
168,132,0,0,0,1,0,0,1,0,0,2014,0,S → S,7,0,0.722773191,0.161506157,0.115720652
183,132,0,0,0,0,1,0,1,0,0,2014,1,S → N,7,0,0.949906753,0.036677639,0.013415608
154,132,0.01,0,0,1,0,0,3,3,3,2014,1,N → S,7,1,0.727948117,0.169277268,0.102774615
