spray.date,first.spray.date,mildew.incidence,flagshoot,previous.flagshoot,disease.in.may,pruning,susceptibility.to.r6.Strains,susceptibility.to.nonr6.Strains,synthetic,nonsynthetic,year,group,mi,Grower,NonSynthetic,Synthetic,Mixture
142,119,0,0,0,0,5,1,1,0,2,2014,NonSynthetic,0,1,0.431055432,0.410066172,0.158878396
155,119,0,0,0,0,5,1,1,1,0,2014,Synthetic,0,1,0.228573762,0.516173586,0.255252652
183,119,0.05,0,0,0,5,1,1,1,1,2014,Mixture,1,1,0.033825159,0.50255477,0.463620071
119,119,0.01,0,0,0.01,5,4,4,0,2,2014,NonSynthetic,1,1,0.749652227,0.175620103,0.07472767
142,119,0.02,0,0,0.01,5,4,4,0,2,2014,NonSynthetic,1,1,0.355640653,0.386263884,0.258095463
155,119,0.02,0,0,0.01,5,4,4,1,0,2014,Synthetic,1,1,0.173100089,0.446291459,0.380608452
183,119,0.13,0,0,0.01,5,4,4,1,1,2014,Mixture,1,1,0.020169532,0.351244944,0.628585524
119,119,0,0,0,0,3,3,3,0,2,2014,NonSynthetic,0,1,0.795641609,0.15756943,0.046788961
142,119,0,0,0,0,3,3,3,0,2,2014,NonSynthetic,0,1,0.42879565,0.391976496,0.179227854
155,119,0,0,0,0,3,3,3,1,0,2014,Synthetic,0,1,0.225408903,0.489135631,0.285455466
183,119,0,0,0,0,3,3,3,1,1,2014,Mixture,0,1,0.034777808,0.48575683,0.479465363
119,119,0.0075,0,0,0.0075,4,3,3,0,2,2014,NonSynthetic,1,1,0.794554545,0.157872158,0.047573297
142,119,0.11,0,0,0.0075,4,3,3,0,2,2014,NonSynthetic,1,1,0.399445157,0.383178655,0.217376188
155,119,0.11,0,0,0.0075,4,3,3,1,0,2014,Synthetic,1,1,0.203006449,0.462277294,0.334716257
183,119,0.12,0,0,0.0075,4,3,3,1,1,2014,Mixture,1,1,0.029319522,0.431629609,0.539050869
81,81,0.03,0.02,0,0.38,5,4,4,0,1,2014,NonSynthetic,1,2,0.995156883,0.00450445,0.000338667
111,81,0.38,0.08,0.02,0.38,5,4,4,0,1,2014,NonSynthetic,1,2,0.953317192,0.036984279,0.009698529
143,81,1,0.01,0.08,0.38,5,4,4,0,1,2014,NonSynthetic,1,2,0.472406923,0.201962861,0.325630216
161,81,0.99,0,0.01,0.38,5,4,4,1,0,2014,Synthetic,1,2,0.180769777,0.254700516,0.564529708
169,81,0.99,0,0,0.38,5,4,4,1,1,2014,Mixture,1,2,0.104426871,0.250473363,0.645099766
104,104,0.01,0,0,0.01,2,2,0,0,1,2014,NonSynthetic,1,2,0.974112053,0.023878057,0.002009889
114,104,0.01,0,0,0.01,2,2,0,0,1,2014,NonSynthetic,1,2,0.95011419,0.045286888,0.004598923
122,104,0.01,0,0,0.01,2,2,0,0,1,2014,NonSynthetic,1,2,0.916828785,0.074392678,0.008778537
128,104,0.01,0,0,0.01,2,2,0,1,0,2014,Synthetic,1,2,0.879586043,0.106366346,0.014047611
171,104,0.09,0,0,0.01,2,2,0,0,1,2014,NonSynthetic,1,2,0.253631051,0.554398178,0.191970771
119,119,0,0,0,0,5,4,0,0,1,2014,NonSynthetic,0,2,0.91476156,0.080131012,0.005107429
123,119,0,0,0,0,5,4,0,0,1,2014,NonSynthetic,0,2,0.891150736,0.101851289,0.006997975
133,119,0.12,0,0,0,5,4,0,1,0,2014,Synthetic,1,2,0.794403313,0.186080402,0.019516285
140,119,0.12,0,0,0,5,4,0,0,1,2014,NonSynthetic,1,2,0.705355866,0.263167642,0.031476492
165,119,0.42,0,0,0,5,4,0,1,1,2014,Mixture,1,2,0.24899935,0.558641237,0.192359413
173,119,0.42,0,0,0,5,4,0,0,1,2014,NonSynthetic,1,2,0.15754414,0.601703184,0.240752676
119,119,0,0,0,0,5,4,0,0,1,2014,NonSynthetic,0,2,0.91476156,0.080131012,0.005107429
123,119,0,0,0,0,5,4,0,0,1,2014,NonSynthetic,0,2,0.891150736,0.101851289,0.006997975
133,119,0.12,0,0,0,5,4,0,1,0,2014,Synthetic,1,2,0.794403313,0.186080402,0.019516285
140,119,0.12,0,0,0,5,4,0,0,1,2014,NonSynthetic,1,2,0.705355866,0.263167642,0.031476492
165,119,0.42,0,0,0,5,4,0,1,1,2014,Mixture,1,2,0.24899935,0.558641237,0.192359413
173,119,0.42,0,0,0,5,4,0,0,1,2014,NonSynthetic,1,2,0.15754414,0.601703184,0.240752676
81,81,0,0,0,0,5,1,1,0,1,2014,NonSynthetic,0,2,0.995900874,0.003931074,0.000168052
113,81,0,0,0,0,5,1,1,0,1,2014,NonSynthetic,0,2,0.965499665,0.032005779,0.002494556
148,81,0,0,0,0,5,1,1,1,0,2014,Synthetic,0,2,0.718932472,0.244336008,0.03673152
172,81,0,0,0,0,5,1,1,0,1,2014,NonSynthetic,0,2,0.32551124,0.545759371,0.128729389
119,119,0.12,0,0,0.12,2,3,3,0,1,2014,NonSynthetic,1,2,0.904815656,0.092129005,0.00305534
151,119,0.88,0,0,0.12,2,3,3,1,1,2014,Mixture,1,2,0.397907368,0.474720173,0.127372459
153,119,0.88,0,0,0.12,2,3,3,1,1,2014,Mixture,1,2,0.364646832,0.496923427,0.138429741
162,119,0.39,0,0,0.12,2,3,3,1,0,2014,Synthetic,1,2,0.307435945,0.614955878,0.077608178
181,119,0.39,0,0,0.12,2,3,3,1,1,2014,Mixture,1,2,0.106925865,0.756666709,0.136407426
116,116,0.07,0.03,0,0.07,4,5,0,0,1,2014,NonSynthetic,1,2,0.929938248,0.065053044,0.005008708
134,116,0.94,0,0.03,0.07,4,5,0,1,0,2014,Synthetic,1,2,0.649137684,0.220077186,0.13078513
141,116,0.94,0,0,0.07,4,5,0,1,0,2014,Synthetic,1,2,0.524664593,0.283324792,0.192010614
150,116,0.94,0,0,0.07,4,5,0,1,1,2014,Mixture,1,2,0.360898898,0.354580067,0.284521035
154,116,0.94,0,0,0.07,4,5,0,0,1,2014,NonSynthetic,1,2,0.294924518,0.378061349,0.327014133
165,116,0.71,0,0,0.07,4,5,0,1,1,2014,Mixture,1,2,0.198408383,0.477888474,0.323703142
176,116,0.71,0,0,0.07,4,5,0,1,1,2014,Mixture,1,2,0.098293148,0.492013523,0.40969333
184,116,0.71,0,0,0.07,4,5,0,1,1,2014,Mixture,1,2,0.056286844,0.479629594,0.464083562
116,116,0,0,0,0,2,4,0,0,1,2014,NonSynthetic,0,2,0.932492759,0.063261143,0.004246098
126,116,0,0,0,0,2,4,0,0,1,2014,NonSynthetic,0,2,0.875198121,0.115452818,0.009349061
142,116,0.82,0,0,0,2,4,0,0,1,2014,NonSynthetic,1,2,0.541585465,0.296560191,0.161854343
154,116,0.82,0,0,0,2,4,0,0,1,2014,NonSynthetic,1,2,0.328118676,0.399065995,0.272815328
157,116,0.82,0,0,0,2,4,0,1,0,2014,Synthetic,1,2,0.28101082,0.417233138,0.301756042
164,116,0.36,0,0,0,2,4,0,1,0,2014,Synthetic,1,2,0.279312423,0.539965956,0.180721622
176,116,0.36,0,0,0,2,4,0,0,1,2014,NonSynthetic,1,2,0.140965439,0.605280517,0.253754043
99,99,0,0,0,0,4,4,4,0,1,2014,NonSynthetic,0,2,0.978684284,0.020262374,0.001053342
106,99,0,0,0,0,4,4,4,0,1,2014,NonSynthetic,0,2,0.966246966,0.031864013,0.001889021
115,99,0,0,0,0,4,4,4,0,1,2014,NonSynthetic,0,2,0.939664447,0.056378182,0.003957371
125,99,0,0,0,0,4,4,4,0,1,2014,NonSynthetic,0,2,0.887669022,0.103560928,0.00877005
157,99,0.47,0,0,0,4,4,4,1,0,2014,Synthetic,1,2,0.3743969,0.450718735,0.174884365
164,99,0.14,0,0,0,4,4,4,1,1,2014,Mixture,1,2,0.328537968,0.545155091,0.126306941
170,99,0.14,0,0,0,4,4,4,1,1,2014,Mixture,1,2,0.243059174,0.601077515,0.155863311
176,99,0.14,0,0,0,4,4,4,1,1,2014,Mixture,1,2,0.173757334,0.640391515,0.185851151
181,99,0.14,0,0,0,4,4,4,1,0,2014,Synthetic,1,2,0.128574822,0.660787253,0.210637925
99,99,0.06,0.01,0,0.06,4,3,3,0,2,2014,NonSynthetic,1,2,0.981548625,0.017714201,0.000737174
116,99,0.06,0.01,0.01,0.06,4,3,3,0,2,2014,NonSynthetic,1,2,0.944201134,0.052777095,0.003021771
153,99,0.87,0,0.01,0.06,4,3,3,1,1,2014,Mixture,1,2,0.406933941,0.379877256,0.213188803
164,99,1,0,0,0.06,4,3,3,1,1,2014,Mixture,1,2,0.204835951,0.420681665,0.374482384
122,122,0,0,0,0,1,4,0,0,1,2014,NonSynthetic,0,4,0.98279952,0.013262161,0.003938319
148,122,0,0,0,0,1,4,0,0,1,2014,NonSynthetic,0,4,0.898613297,0.068331249,0.033055453
159,122,0,0,0,0,1,4,0,0,1,2014,NonSynthetic,0,4,0.798719267,0.126219932,0.075060801
183,122,0,0,0,0,1,4,0,0,1,2014,NonSynthetic,0,4,0.398881985,0.310966812,0.290151202
122,122,0,0,0,0,1,4,0,0,1,2014,NonSynthetic,0,4,0.98279952,0.013262161,0.003938319
148,122,0,0,0,0,1,4,0,0,1,2014,NonSynthetic,0,4,0.898613297,0.068331249,0.033055453
159,122,0,0,0,0,1,4,0,0,1,2014,NonSynthetic,0,4,0.798719267,0.126219932,0.075060801
183,122,0,0,0,0,1,4,0,0,1,2014,NonSynthetic,0,4,0.398881985,0.310966812,0.290151202
120,120,0,0,0,0,3,3,3,0,1,2014,NonSynthetic,0,4,0.986060395,0.012375365,0.00156424
158,120,0,0,0,0,3,3,3,0,1,2014,NonSynthetic,0,4,0.83500788,0.131162645,0.033829475
186,120,0.01,0,0,0,3,3,3,1,0,2014,Synthetic,1,4,0.405306944,0.411590413,0.183102644
121,121,0,0,0,0,2,4,4,0,1,2014,NonSynthetic,0,4,0.981445105,0.015797112,0.002757783
163,121,0,0,0,0,2,4,4,0,1,2014,NonSynthetic,0,4,0.733258218,0.192733113,0.074008669
121,121,0,0,0,0,2,4,4,0,1,2014,NonSynthetic,0,4,0.981445105,0.015797112,0.002757783
163,121,0,0,0,0,2,4,4,0,1,2014,NonSynthetic,0,4,0.733258218,0.192733113,0.074008669
158,158,0.02,0,0,0,5,3,3,0,1,2014,NonSynthetic,1,4,0.743780735,0.239839309,0.016379956
187,158,0.02,0,0,0,5,3,3,1,0,2014,Synthetic,1,4,0.287409255,0.637551578,0.075039168
122,122,0,0,0,0,1,4,0,0,1,2014,NonSynthetic,0,4,0.98279952,0.013262161,0.003938319
148,122,0,0,0,0,1,4,0,0,1,2014,NonSynthetic,0,4,0.898613297,0.068331249,0.033055453
159,122,0,0,0,0,1,4,0,0,1,2014,NonSynthetic,0,4,0.798719267,0.126219932,0.075060801
120,120,0,0,0,0,3,3,3,0,1,2014,NonSynthetic,0,4,0.986060395,0.012375365,0.00156424
158,120,0,0,0,0,3,3,3,0,1,2014,NonSynthetic,0,4,0.83500788,0.131162645,0.033829475
186,120,0,0,0,0,3,3,3,1,0,2014,Synthetic,0,4,0.40781083,0.412322301,0.179866869
120,120,0,0,0,0,2,3,3,0,1,2014,NonSynthetic,0,4,0.986060395,0.012375365,0.00156424
158,120,0,0,0,0,2,3,3,0,1,2014,NonSynthetic,0,4,0.83500788,0.131162645,0.033829475
186,120,0,0,0,0,2,3,3,1,0,2014,Synthetic,0,4,0.40781083,0.412322301,0.179866869
125,125,0,0,0,0,2,1,1,0,1,2014,NonSynthetic,0,4,0.978509855,0.019567386,0.001922759
155,125,0,0,0,0,2,1,1,0,1,2014,NonSynthetic,0,4,0.852956193,0.125404793,0.021639014
118,118,0,0,0,0,4,2,2,0,1,2014,NonSynthetic,0,5,0.99124987,0.001038725,0.007711405
126,118,0,0,0,0,4,2,2,0,1,2014,NonSynthetic,0,5,0.983117279,0.001753751,0.01512897
133,118,0,0,0,0,4,2,2,0,3,2014,NonSynthetic,0,5,0.970125746,0.002756483,0.027117772
111,118,0,0,0,0,4,2,2,0,1,2014,NonSynthetic,0,5,0.995083595,0.000654655,0.004261751
146,118,0,0,0,0,4,2,2,0,3,2014,NonSynthetic,0,5,0.916224068,0.006179844,0.077596089
158,118,0,0,0,0,4,2,2,0,1,2014,NonSynthetic,0,5,0.799613246,0.011979086,0.188407668
111,111,0,0,0,0,1,1,1,0,1,2014,NonSynthetic,0,5,0.996620351,0.000362021,0.003017628
118,111,0,0,0,0,1,1,1,0,1,2014,NonSynthetic,0,5,0.993958199,0.000575092,0.00546671
126,111,0,0,0,0,1,1,1,0,1,2014,NonSynthetic,0,5,0.988274601,0.000973401,0.010751998
132,111,0,0,0,0,1,1,1,0,2,2014,NonSynthetic,0,5,0.980762562,0.001439667,0.017797772
140,111,0,0,0,0,1,1,1,0,1,2014,NonSynthetic,0,5,0.963024074,0.00240647,0.034569455
147,111,0,0,0,0,1,1,1,0,2,2014,NonSynthetic,0,5,0.935292104,0.003722676,0.06098522
161,111,0,0,0,0,1,1,1,0,1,2014,NonSynthetic,0,5,0.816167921,0.008241699,0.17559038
147,147,0,0,0,0,5,3,3,0,2,2014,NonSynthetic,0,5,0.954965914,0.0071597,0.037874386
111,111,0,0,0,0,1,0,0,0,1,2014,NonSynthetic,0,5,0.992173891,0.000314033,0.007512076
118,111,0,0,0,0,1,0,0,0,1,2014,NonSynthetic,0,5,0.985943371,0.000497054,0.013559575
126,111,0,0,0,0,1,0,0,0,1,2014,NonSynthetic,0,5,0.972702888,0.00083479,0.026462322
132,111,0,0,0,0,1,0,0,0,2,2014,NonSynthetic,0,5,0.955423512,0.001222016,0.043354472
140,111,0,0,0,0,1,0,0,0,1,2014,NonSynthetic,0,5,0.915801945,0.001994012,0.082204043
147,111,0,0,0,0,1,0,0,0,2,2014,NonSynthetic,0,5,0.857254027,0.002973038,0.139772935
161,111,0,0,0,0,1,0,0,0,1,2014,NonSynthetic,0,5,0.646509391,0.005688463,0.347802146
119,119,0,0,0,0,1,1,1,0,1,2014,NonSynthetic,0,5,0.994101684,0.000713901,0.005184415
140,119,0,0,0,0,1,1,1,0,2,2014,NonSynthetic,0,5,0.966970118,0.002806172,0.03022371
165,119,0,0,0,0,1,1,1,0,1,2014,NonSynthetic,0,5,0.782002307,0.011965358,0.206032334
119,119,0,0,0,0,3,1,1,0,1,2014,NonSynthetic,0,5,0.994101684,0.000713901,0.005184415
135,119,0.01,0,0,0,3,1,1,0,2,2014,NonSynthetic,1,5,0.9775242,0.002043283,0.020432517
161,119,0,0,0,0,3,1,1,0,1,2014,NonSynthetic,0,5,0.833990599,0.00978039,0.156229011
118,118,0,0,0,0,4,4,0,0,1,2014,NonSynthetic,0,5,0.987402137,0.000567393,0.01203047
127,118,0,0,0,0,4,4,0,0,1,2014,NonSynthetic,0,5,0.973432942,0.001017705,0.025549353
134,118,0.14,0,0,0,4,4,0,0,2,2014,NonSynthetic,1,5,0.935913933,0.001657144,0.062428924
142,118,0.14,0,0,0,4,4,0,0,1,2014,NonSynthetic,1,5,0.881086446,0.002655756,0.116257798
147,118,0.14,0,0,0,4,4,0,0,2,2014,NonSynthetic,1,5,0.828980379,0.003484313,0.167535308
162,118,0.16,0,0,0,4,4,0,0,1,2014,NonSynthetic,1,5,0.563902878,0.006483259,0.429613863
118,118,0,0,0,0,2,4,0,0,1,2014,NonSynthetic,0,5,0.987402137,0.000567393,0.01203047
127,118,0,0,0,0,2,4,0,0,1,2014,NonSynthetic,0,5,0.973432942,0.001017705,0.025549353
134,118,0.08,0,0,0,2,4,0,0,2,2014,NonSynthetic,1,5,0.943853454,0.001627834,0.054518712
142,118,0.08,0,0,0,2,4,0,0,1,2014,NonSynthetic,1,5,0.895098021,0.002627976,0.102274003
150,118,0.08,0,0,0,2,4,0,0,2,2014,NonSynthetic,1,5,0.812335318,0.00406005,0.183604632
157,118,0.08,0,0,0,2,4,0,0,1,2014,NonSynthetic,1,5,0.704962673,0.005612118,0.289425209
118,118,0,0,0,0,1,4,0,0,1,2014,NonSynthetic,0,5,0.987402137,0.000567393,0.01203047
126,118,0,0,0,0,1,4,0,0,1,2014,NonSynthetic,0,5,0.975533987,0.000954284,0.023511729
133,118,0.07,0,0,0,1,4,0,0,2,2014,NonSynthetic,1,5,0.949315907,0.00152522,0.049158873
141,118,0.07,0,0,0,1,4,0,0,1,2014,NonSynthetic,1,5,0.904838809,0.002474789,0.092686402
146,118,0.07,0,0,0,1,4,0,0,2,2014,NonSynthetic,1,5,0.861544002,0.00328585,0.135170148
158,118,0.07,0,0,0,1,4,0,0,1,2014,NonSynthetic,1,5,0.692055601,0.00586245,0.302081949
118,118,0,0,0,0,4,4,0,0,1,2014,NonSynthetic,0,5,0.987402137,0.000567393,0.01203047
127,118,0,0,0,0,4,4,0,0,1,2014,NonSynthetic,0,5,0.973432942,0.001017705,0.025549353
135,118,0.1,0,0,0,4,4,0,0,2,2014,NonSynthetic,1,5,0.936457448,0.001741327,0.061801224
142,118,0.1,0,0,0,4,4,0,0,1,2014,NonSynthetic,1,5,0.890600857,0.00263779,0.106761354
150,118,0.1,0,0,0,4,4,0,0,1,2014,NonSynthetic,1,5,0.805042167,0.004059018,0.190898815
162,118,0,0,0,0,4,4,0,0,1,2014,NonSynthetic,0,5,0.653706731,0.007006834,0.339286435
140,140,0,0,0,0,2,5,0,0,1,2014,NonSynthetic,0,6,0.935489411,0.031473293,0.033037296
162,140,0.43,0,0,0,2,5,0,0,2,2014,NonSynthetic,1,6,0.548833737,0.096283853,0.35488241
182,140,0.43,0,0,0,2,5,0,1,0,2014,Synthetic,1,6,0.19150071,0.127027061,0.681472229
140,140,0,0,0,0,2,4,0,0,1,2014,NonSynthetic,0,6,0.935489411,0.031473293,0.033037296
162,140,0,0,0,0,2,4,0,0,2,2014,NonSynthetic,0,6,0.726849862,0.105614254,0.167535884
182,140,0,0,0,0,2,4,0,1,0,2014,Synthetic,0,6,0.354871335,0.194967375,0.45016129
140,140,0,0,0,0,3,4,4,0,1,2014,NonSynthetic,0,6,0.934401639,0.040831901,0.02476646
162,140,0.19,0,0,0,3,4,4,0,2,2014,NonSynthetic,1,6,0.676591397,0.138779902,0.1846287
182,140,0.19,0,0,0,3,4,4,1,0,2014,Synthetic,1,6,0.305125678,0.236642128,0.458232194
140,140,0.03,0,0,0,2,4,0,0,1,2014,NonSynthetic,1,6,0.93280136,0.031798152,0.035400488
162,140,0.43,0,0,0,2,4,0,0,2,2014,NonSynthetic,1,6,0.548833737,0.096283853,0.35488241
182,140,0.43,0,0,0,2,4,0,1,0,2014,Synthetic,1,6,0.19150071,0.127027061,0.681472229
140,140,0,0,0,0,1,3,3,0,1,2014,NonSynthetic,0,6,0.949560332,0.035231553,0.015208114
167,140,0.02,0,0,0,1,3,3,0,2,2014,NonSynthetic,1,6,0.717671255,0.16177778,0.120550966
140,140,0.06,0,0,0,2,4,0,0,1,2014,NonSynthetic,1,6,0.929953531,0.032120579,0.03792589
167,140,0.18,0,0,0,2,4,0,0,1,2014,NonSynthetic,1,6,0.567235799,0.124365866,0.308398335
140,140,0,0,0,0,3,1,1,0,1,2014,NonSynthetic,0,6,0.949906753,0.036677639,0.013415608
167,140,0,0,0,0,3,1,1,0,2,2014,NonSynthetic,0,6,0.727948117,0.169277268,0.102774615
140,140,0.02,0,0,0,2,4,0,0,1,2014,NonSynthetic,1,6,0.933714668,0.031690111,0.034595221
140,140,0,0,0,0,1,3,3,0,1,2014,NonSynthetic,0,6,0.949560332,0.035231553,0.015208114
